headlines,posted_time,tokens,labels,secondary_labels,kmeans_3_labels
Why Kevin Love benefits from new head coach,2016-01-25,"['kevin', 'love', 'benefit', 'new', 'head', 'coach']",0,0,0
James: Lue's up-tempo style not a 'LeBron thing',2016-01-25,"['james', 'lues', 'uptempo', 'style', 'lebron', 'thing']",0,0,0
OKC's Roberson out 3 weeks with sprained knee,2016-01-25,"['okcs', 'roberson', '3', 'week', 'sprained', 'knee']",0,0,0
"20 Questions: Recapping the NFL playoffs, Australian Open news and more",2016-01-25,"['20', 'question', 'recapping', 'nfl', 'playoff', 'australian', 'open', 'news']",0,0,0
Basketball Hall of Famer Wanzer dies at age 94,2016-01-25,"['basketball', 'hall', 'famer', 'wanzer', 'dy', 'age', '94']",0,0,0
David Blatt and the unwinding of his Cleveland tenure,2016-01-25,"['david', 'blatt', 'unwinding', 'cleveland', 'tenure']",0,0,0
Spurs to sit Duncan (knee) against Warriors,2016-01-25,"['spur', 'sit', 'duncan', 'knee', 'warrior']",0,0,2
New coach Lue: Cavs not 'in good enough shape',2016-01-25,"['new', 'coach', 'lue', 'cavs', 'good', 'enough', 'shape']",0,0,0
Report: MSG staffers fired over alleged scalping,2016-01-25,"['report', 'msg', 'staffer', 'fired', 'alleged', 'scalping']",0,0,0
McMenamin: Lue's balancing act showed why he was Cavs' guy,2016-01-24,"['mcmenamin', 'lues', 'balancing', 'act', 'showed', 'cavs', 'guy']",0,0,0
"Cavs add Longabardi as assistant, sources say",2016-01-24,"['cavs', 'add', 'longabardi', 'assistant', 'source', 'say']",0,1,0
East-leading Cavs dismiss Blatt in second season,2016-01-24,"['eastleading', 'cavs', 'dismiss', 'blatt', 'second', 'season']",0,0,0
East-leading Cavs dismiss Blatt in second season,2016-01-24,"['eastleading', 'cavs', 'dismiss', 'blatt', 'second', 'season']",0,0,0
Surprised LeBron: I didn't influence Blatt firing,2016-01-24,"['surprised', 'lebron', 'didnt', 'influence', 'blatt', 'firing']",0,0,0
"Bulls handle Cavs, spoil Lue's coaching debut",2016-01-24,"['bull', 'handle', 'cavs', 'spoil', 'lues', 'coaching', 'debut']",0,0,0
Lue: Would be 'sweet' if Blatt coached All-Stars,2016-01-23,"['lue', 'would', 'sweet', 'blatt', 'coached', 'allstars']",0,0,0
Adande: The evolution of the Warriors' stealth revolution,2016-01-23,"['adande', 'evolution', 'warrior', 'stealth', 'revolution']",0,0,2
Spurs fan gets cornrows after Kawhi clinches ASG,2016-01-23,"['spur', 'fan', 'get', 'cornrows', 'kawhi', 'clinch', 'asg']",0,0,0
5-on-5: Will new coach lift Cavaliers?,2016-01-23,"['5on5', 'new', 'coach', 'lift', 'cavalier']",0,0,0
TrueHoop Presents: What Steph's status means for LeBron,2016-01-23,"['truehoop', 'present', 'stephs', 'status', 'mean', 'lebron']",0,0,0
Israeli fans not happy with Cavs after Blatt firing,2016-01-23,"['israeli', 'fan', 'happy', 'cavs', 'blatt', 'firing']",0,0,0
Carlisle on Blatt firing: 'Embarrassed for league',2016-01-23,"['carlisle', 'blatt', 'firing', 'embarrassed', 'league']",0,0,0
J. Smith ready to contribute in return to Rockets,2016-01-23,"['j', 'smith', 'ready', 'contribute', 'return', 'rocket']",0,0,0
"LeBron 'doesn't run this organization,' GM says",2016-01-23,"['lebron', 'doesnt', 'run', 'organization', 'gm', 'say']",0,0,0
Spurs hold Aldridge (back spasms) out vs. Lakers,2016-01-23,"['spur', 'hold', 'aldridge', 'back', 'spasm', 'v', 'lakers']",0,0,1
"Durant, Thunder top Mavs 109-106 for season-best 7-game run",2016-01-23,"['durant', 'thunder', 'top', 'mavs', '109106', 'seasonbest', '7game', 'run']",0,0,0
"Sealed with kiss: Lowry gives fan a peck, Raptors top Heat",2016-01-23,"['sealed', 'kiss', 'lowry', 'give', 'fan', 'peck', 'raptor', 'top', 'heat']",0,0,0
"Knicks' Lopez smacks CP3 in face, gets tossed",2016-01-23,"['knicks', 'lopez', 'smack', 'cp3', 'face', 'get', 'tossed']",0,0,0
Trade Grades: Josh Smith a new Rocket booster?,2016-01-23,"['trade', 'grade', 'josh', 'smith', 'new', 'rocket', 'booster']",0,0,0
Warriors coach Kerr returns to sideline vs. Pacers,2016-01-22,"['warrior', 'coach', 'kerr', 'return', 'sideline', 'v', 'pacer']",0,0,1
Mazzeo: The transformation of Kyle Lowry,2016-01-22,"['mazzeo', 'transformation', 'kyle', 'lowry']",0,0,0
Illinois AG wants suits by DFS sites dismissed,2016-01-22,"['illinois', 'ag', 'want', 'suit', 'dfs', 'site', 'dismissed']",0,0,0
Weekend blizzard affects sports throughout East,2016-01-22,"['weekend', 'blizzard', 'affect', 'sport', 'throughout', 'east']",0,0,0
All-Time #NBArank: 91-100,2016-01-22,"['alltime', 'nbarank', '91100']",0,0,0
"Young: The way Ibaka goes, so does OKC",2016-01-22,"['young', 'way', 'ibaka', 'go', 'okc']",0,0,0
"NYPD, DA clear J.R. Smith in alleged incident",2016-01-22,"['nypd', 'da', 'clear', 'jr', 'smith', 'alleged', 'incident']",0,0,0
Mavs' Pachulia nearly voted West All-Star starter,2016-01-22,"['mavs', 'pachulia', 'nearly', 'voted', 'west', 'allstar', 'starter']",0,0,0
"5-on-5: Surprises, snubs among All-Star starters",2016-01-22,"['5on5', 'surprise', 'snub', 'among', 'allstar', 'starter']",0,0,0
Rose on All-Star absence: Missed too many,2016-01-22,"['rose', 'allstar', 'absence', 'missed', 'many']",0,0,0
DraftKings will ID experienced users in contests,2016-01-22,"['draftkings', 'id', 'experienced', 'user', 'contest']",0,0,0
Jay Williams: 'Today was going to be amazing. Today was going to be perfect',2016-01-22,"['jay', 'williams', 'today', 'going', 'amazing', 'today', 'going', 'perfect']",0,0,0
